time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.004,4.0,0.5,80.0
0.011,4.0,0.5,80.0
0.021,4.0,0.5,80.0
0.031,4.0,0.5,80.0
0.041,4.0,0.5,80.0
0.051,4.0,0.5,80.0
0.07,4.0,0.5,80.0
0.074,4.0,0.5,80.0
0.081,4.0,0.5,80.0
0.091,4.0,0.5,80.0
0.101,4.0,0.5,80.0
0.111,4.0,0.5,80.0
0.127,4.0,0.5,80.0
0.131,4.0,0.5,80.0
0.141,4.0,0.5,80.0
0.151,4.0,0.5,80.0
0.161,4.0,0.5,80.0
0.171,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.194,4.0,0.5,80.0
0.201,4.0,0.5,80.0
0.211,4.0,0.5,80.0
0.221,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.244,4.0,0.5,80.0
0.251,4.0,0.5,80.0
0.261,4.0,0.5,80.0
0.271,4.0,0.5,80.0
0.281,4.0,0.5,80.0
0.301,4.0,0.5,80.0
0.304,4.0,0.5,80.0
0.311,4.0,0.5,80.0
0.321,4.0,0.5,80.0
0.331,4.0,0.5,80.0
0.341,4.0,0.5,80.0
0.361,4.0,0.5,80.0
0.364,4.0,0.5,80.0
0.371,4.0,0.5,80.0
0.381,4.0,0.5,80.0
0.391,4.0,0.5,80.0
0.401,4.0,0.5,80.0
0.421,4.0,0.5,80.0
0.424,4.0,0.5,80.0
0.431,4.0,0.5,80.0
0.441,4.0,0.5,80.0
0.451,4.0,0.5,80.0
0.461,4.0,0.5,80.0
0.481,4.0,0.5,80.0
0.485,4.0,0.5,80.0
0.491,4.0,0.5,80.0
0.501,4.0,0.5,80.0
0.511,4.0,0.5,80.0
0.521,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.544,4.0,0.5,80.0
0.551,4.0,0.5,80.0
0.561,4.0,0.5,80.0
0.571,4.0,0.5,80.0
0.581,4.0,0.5,80.0
0.594,4.0,0.5,80.0
0.601,4.0,0.5,80.0
0.611,4.0,0.5,80.0
0.621,4.0,0.5,80.0
0.631,4.0,0.5,80.0
0.641,4.0,0.5,80.0
0.653,4.0,0.5,80.0
0.661,4.0,0.5,80.0
0.671,4.0,0.5,80.0
0.681,4.0,0.5,80.0
0.691,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.714,4.0,0.5,80.0
0.721,4.0,0.5,80.0
0.731,4.0,0.5,80.0
0.741,4.0,0.5,80.0
0.751,4.0,0.5,80.0
0.771,4.0,0.5,80.0
0.774,4.0,0.5,80.0
0.781,4.0,0.5,80.0
0.791,4.0,0.5,80.0
0.801,4.0,0.5,80.0
0.811,4.0,0.5,80.0
0.83,4.0,0.5,80.0
0.834,4.0,0.5,80.0
0.841,4.0,0.5,80.0
0.851,4.0,0.5,80.0
0.861,4.0,0.5,80.0
0.871,4.0,0.5,80.0
0.89,4.0,0.5,80.0
0.894,4.0,0.5,80.0
0.901,4.0,0.5,80.0
0.911,4.0,0.5,80.0
0.921,4.0,0.5,80.0
0.931,4.0,0.5,80.0
0.95,4.0,0.5,80.0
0.954,4.0,0.5,80.0
0.961,4.0,0.5,80.0
0.971,4.0,0.5,80.0
0.981,4.0,0.5,80.0
1.0,4.0,0.5,80.0
1.004,4.0,0.5,80.0
1.011,4.0,0.5,80.0
1.021,4.0,0.5,80.0
1.031,4.0,0.5,80.0
1.041,4.0,0.5,80.0
1.059,4.0,0.5,80.0
1.064,4.0,0.5,80.0
1.071,4.0,0.5,80.0
1.081,4.0,0.5,80.0
1.091,4.0,0.5,80.0
1.101,4.0,0.5,80.0
1.12,4.0,0.5,80.0
1.124,4.0,0.5,80.0
1.131,4.0,0.5,80.0
1.141,4.0,0.5,80.0
1.151,4.0,0.5,80.0
1.161,4.0,0.5,80.0
1.181,4.0,0.5,80.0
1.184,4.0,0.5,80.0
1.191,4.0,0.5,80.0
1.201,4.0,0.5,80.0
1.211,4.0,0.5,80.0
1.221,4.0,0.5,80.0
1.24,4.0,0.5,80.0
1.244,4.0,0.5,80.0
1.251,4.0,0.5,80.0
1.261,4.0,0.5,80.0
1.271,4.0,0.5,80.0
1.281,4.0,0.5,80.0
1.301,4.0,0.5,80.0
1.304,4.0,0.5,80.0
1.311,4.0,0.5,80.0
1.321,4.0,0.5,80.0
1.331,4.0,0.5,80.0
1.341,4.0,0.5,80.0
1.361,4.0,0.5,80.0
1.364,4.0,0.5,80.0
1.371,4.0,0.5,80.0
1.381,4.0,0.5,80.0
1.391,4.0,0.5,80.0
1.409,4.0,0.5,80.0
1.414,4.0,0.5,80.0
1.421,4.0,0.5,80.0
1.431,4.0,0.5,80.0
1.441,4.0,0.5,80.0
1.451,4.0,0.5,80.0
1.469,4.0,0.5,80.0
1.474,4.0,0.5,80.0
1.481,4.0,0.5,80.0
1.491,4.0,0.5,80.0
1.501,4.0,0.5,80.0
1.511,4.0,0.5,80.0
1.53,4.0,0.5,80.0
1.534,4.0,0.5,80.0
1.541,4.0,0.5,80.0
1.551,4.0,0.5,80.0
1.561,4.0,0.5,80.0
1.571,4.0,0.5,80.0
1.591,4.0,0.5,80.0
1.595,4.0,0.5,80.0
1.601,4.0,0.5,80.0
1.611,4.0,0.5,80.0
1.621,4.0,0.5,80.0
1.631,4.0,0.5,80.0
1.65,4.0,0.5,80.0
1.654,4.0,0.5,80.0
1.661,4.0,0.5,80.0
1.671,4.0,0.5,80.0
1.681,4.0,0.5,80.0
1.691,4.0,0.5,80.0
1.71,4.0,0.5,80.0
1.714,4.0,0.5,80.0
1.721,4.0,0.5,80.0
1.731,4.0,0.5,80.0
1.741,4.0,0.5,80.0
1.751,4.0,0.5,80.0
1.77,4.0,0.5,80.0
1.774,4.0,0.5,80.0
1.781,4.0,0.5,80.0
1.791,4.0,0.5,80.0
1.801,4.0,0.5,80.0
1.819,4.0,0.5,80.0
1.824,4.0,0.5,80.0
1.831,4.0,0.5,80.0
1.841,4.0,0.5,80.0
1.851,4.0,0.5,80.0
1.861,4.0,0.5,80.0
1.88,4.0,0.5,80.0
1.884,4.0,0.5,80.0
1.891,4.0,0.5,80.0
1.901,4.0,0.5,80.0
1.911,4.0,0.5,80.0
1.921,4.0,0.5,80.0
1.94,4.0,0.5,80.0
1.944,4.0,0.5,80.0
1.951,4.0,0.5,80.0
1.961,4.0,0.5,80.0
1.971,4.0,0.5,80.0
1.982,4.0,0.5,80.0
