time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.009,4.0,0.5,80.0
0.019,4.0,0.5,80.0
0.029,4.0,0.5,80.0
0.039,4.0,0.5,80.0
0.059,4.0,0.5,80.0
0.063,4.0,0.5,80.0
0.069,4.0,0.5,80.0
0.079,4.0,0.5,80.0
0.089,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.119,4.0,0.5,80.0
0.123,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.139,4.0,0.5,80.0
0.149,4.0,0.5,80.0
0.159,4.0,0.5,80.0
0.179,4.0,0.5,80.0
0.183,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.2,4.0,0.5,80.0
0.209,4.0,0.5,80.0
0.219,4.0,0.5,80.0
0.239,4.0,0.5,80.0
0.242,4.0,0.5,80.0
0.249,4.0,0.5,80.0
0.259,4.0,0.5,80.0
0.269,4.0,0.5,80.0
0.279,4.0,0.5,80.0
0.299,4.0,0.5,80.0
0.304,4.0,0.5,80.0
0.309,4.0,0.5,80.0
0.319,4.0,0.5,80.0
0.33,4.0,0.5,80.0
0.339,4.0,0.5,80.0
0.359,4.0,0.5,80.0
0.363,4.0,0.5,80.0
0.369,4.0,0.5,80.0
0.379,4.0,0.5,80.0
0.389,4.0,0.5,80.0
0.4,4.0,0.5,80.0
0.419,4.0,0.5,80.0
0.422,4.0,0.5,80.0
0.429,4.0,0.5,80.0
0.439,4.0,0.5,80.0
0.449,4.0,0.5,80.0
0.459,4.0,0.5,80.0
0.479,4.0,0.5,80.0
0.483,4.0,0.5,80.0
0.489,4.0,0.5,80.0
0.5,4.0,0.5,80.0
0.509,4.0,0.5,80.0
0.52,4.0,0.5,80.0
0.537,4.0,0.5,80.0
0.541,4.0,0.5,80.0
0.55,4.0,0.5,80.0
0.559,4.0,0.5,80.0
0.569,4.0,0.5,80.0
0.579,4.0,0.5,80.0
0.599,4.0,0.5,80.0
0.603,4.0,0.5,80.0
0.609,4.0,0.5,80.0
0.619,4.0,0.5,80.0
0.629,4.0,0.5,80.0
0.64,4.0,0.5,80.0
0.652,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.669,4.0,0.5,80.0
0.679,4.0,0.5,80.0
0.689,4.0,0.5,80.0
0.709,4.0,0.5,80.0
0.713,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.729,4.0,0.5,80.0
0.739,4.0,0.5,80.0
0.749,4.0,0.5,80.0
