time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.009,4.0,0.5,80.0
0.019,4.0,0.5,80.0
0.029,4.0,0.5,80.0
0.039,4.0,0.5,80.0
0.058,4.0,0.5,80.0
0.062,4.0,0.5,80.0
0.069,4.0,0.5,80.0
0.079,4.0,0.5,80.0
0.089,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.118,4.0,0.5,80.0
0.122,4.0,0.5,80.0
0.129,4.0,0.5,80.0
0.139,4.0,0.5,80.0
0.149,4.0,0.5,80.0
0.159,4.0,0.5,80.0
0.179,4.0,0.5,80.0
0.183,4.0,0.5,80.0
0.189,4.0,0.5,80.0
0.199,4.0,0.5,80.0
0.209,4.0,0.5,80.0
0.219,4.0,0.5,80.0
0.239,4.0,0.5,80.0
0.243,4.0,0.5,80.0
0.249,4.0,0.5,80.0
0.259,4.0,0.5,80.0
0.269,4.0,0.5,80.0
0.279,4.0,0.5,80.0
0.298,4.0,0.5,80.0
0.303,4.0,0.5,80.0
0.309,4.0,0.5,80.0
0.319,4.0,0.5,80.0
0.329,4.0,0.5,80.0
0.339,4.0,0.5,80.0
0.358,4.0,0.5,80.0
0.362,4.0,0.5,80.0
0.369,4.0,0.5,80.0
0.379,4.0,0.5,80.0
0.389,4.0,0.5,80.0
0.408,4.0,0.5,80.0
0.412,4.0,0.5,80.0
0.419,4.0,0.5,80.0
0.429,4.0,0.5,80.0
0.439,4.0,0.5,80.0
0.449,4.0,0.5,80.0
0.459,4.0,0.5,80.0
0.477,4.0,0.5,80.0
0.481,4.0,0.5,80.0
0.49,4.0,0.5,80.0
0.499,4.0,0.5,80.0
0.509,4.0,0.5,80.0
0.528,4.0,0.5,80.0
0.532,4.0,0.5,80.0
0.539,4.0,0.5,80.0
0.549,4.0,0.5,80.0
0.559,4.0,0.5,80.0
0.569,4.0,0.5,80.0
0.579,4.0,0.5,80.0
0.593,4.0,0.5,80.0
0.599,4.0,0.5,80.0
0.609,4.0,0.5,80.0
0.619,4.0,0.5,80.0
0.629,4.0,0.5,80.0
0.649,4.0,0.5,80.0
0.653,4.0,0.5,80.0
0.659,4.0,0.5,80.0
0.669,4.0,0.5,80.0
0.679,4.0,0.5,80.0
0.689,4.0,0.5,80.0
0.709,4.0,0.5,80.0
0.713,4.0,0.5,80.0
0.719,4.0,0.5,80.0
0.729,4.0,0.5,80.0
0.739,4.0,0.5,80.0
0.749,4.0,0.5,80.0
